island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source,fold_width_area_correction_factor,corolla_area_unfolded_est_mm2,max_span_unfolded_est_mm,throat_span_unfolded_est_mm,mid_tube_width_unfolded_est_mm,basal_tube_width_unfolded_est_mm,prov_mouth_diameter_reviewed_mm,prov_entrance_area_reviewed_mm2,fold_state_auto_original
Oshima,1,oshima13~15,,13|14|15,,,,7,1706,1668,7,1,shimask_red_outline_from_raw_difference,38.18,26.33,0.69,,check,,816.9,196.408,24.043,369,45.17,0.973,1,0.169,1,14.55,33.64,3,0.936,1.43,,249,120,8,15.799,8.243,0.5323,0.0789,69.8781,0.0,1112,419.06,51.298,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,38.185,26.247,816.895,4.582,33.518,23.114,25.485,16.256,7.357,42.515,0.2195,1.4219,1.3152,24.478,19.854,0.12,0.8806,0.5006,3,opened_or_broad,flat_span_over_pi,0.2334,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,8,527,2274,8,1,shimask_red_outline_from_raw_difference,43.6,28.7,0.658,,check,,987.9,331.297,33.535,215,21.763,0.947,1,0.017,0,14.45,38.41,3,0.93,1.52,,157,58,9,28.688,4.847,1.5409,0.2007,108.1432,0.0,1372,492.257,49.827,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,43.603,28.389,987.934,5.232,38.286,23.199,26.839,18.542,7.384,42.827,0.1929,1.2511,1.4265,35.188,11.185,0.12,0.8172,0.4798,3,opened_or_broad,flat_span_over_pi,0.2,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,9,1164,2295,9,1,shimask_red_outline_from_raw_difference,42.59,32.17,0.755,,check,,1105.0,354.781,32.107,323,29.231,0.998,1,0.034,0,8.84,38.25,4,0.945,1.32,,224,99,18,26.034,6.073,1.0984,0.1864,110.8099,0.0,1725,552.824,50.029,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,42.587,31.835,1105.017,5.11,37.392,30.48,29.041,20.997,9.702,73.93,0.2595,1.4516,1.2876,33.194,20.807,0.12,0.9574,0.4887,4,opened_or_broad,flat_span_over_pi,0.1987,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,10,444,2956,10,1,shimask_red_outline_from_raw_difference,48.6,27.52,0.566,,check,,1048.3,54.28,5.178,235,22.416,0.956,1,0.045,0,6.95,41.26,5,0.933,1.74,,229,6,0,4.817,0.361,0.231,0.1147,1.9068,0.0,621,227.039,21.657,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,48.599,27.347,1048.357,7.816,40.698,24.215,26.501,18.288,7.708,46.66,0.1894,1.3241,1.5357,5.375,3.228,0.1608,0.8854,0.4083,5,opened_or_broad,flat_span_over_pi,0.2341,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,13,2048,2972,12,1,shimask_red_outline_from_raw_difference,44.28,30.23,0.683,,check,,1018.8,115.218,11.309,292,28.661,0.946,1,0.072,0,17.79,35.05,3,0.959,1.47,,280,12,5,10.491,0.818,0.3946,0.1577,8.1864,0.0,1053,348.501,34.207,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,44.281,29.803,1018.802,5.314,38.882,24.638,27.855,17.441,7.843,48.306,0.2017,1.4126,1.3959,11.857,4.011,0.12,0.8267,0.478,3,opened_or_broad,flat_span_over_pi,0.0995,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,11,1068,2977,11,1,shimask_red_outline_from_raw_difference,49.02,31.75,0.648,,check,,1155.7,90.652,7.844,260,22.497,0.965,1,0.109,1,16.98,41.85,3,0.916,1.54,,250,10,2,7.309,0.535,0.3487,0.1254,10.9892,0.0,823,349.82,30.269,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,49.022,31.411,1155.733,7.087,41.85,26.67,27.347,19.219,8.489,56.603,0.2029,1.3877,1.5303,8.329,2.177,0.1446,0.8491,0.3533,3,opened_or_broad,flat_span_over_pi,0.2771,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,12,1551,3005,13,1,shimask_red_outline_from_raw_difference,45.72,31.83,0.696,,check,,1081.3,61.462,5.684,233,21.548,0.991,1,0.234,1,18.97,36.79,3,0.928,1.38,,216,17,1,5.074,0.61,0.2638,0.086,6.2222,0.0,849,314.035,29.043,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,45.72,31.581,1081.268,6.997,38.639,23.368,29.379,19.135,7.438,43.454,0.1925,1.2212,1.3152,5.833,4.338,0.153,0.7399,0.3786,3,opened_or_broad,flat_span_over_pi,0.2222,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,1,769,902,1,1,shimask_red_outline_from_raw_difference,46.65,32.17,0.69,,check,,1165.8,116.939,10.031,246,21.101,0.944,1,0.162,1,8.22,41.03,4,0.922,1.44,,235,11,8,9.363,0.667,0.4754,0.1362,9.3763,0.0,898,314.824,27.004,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,46.651,32.004,1165.834,5.736,40.831,28.617,29.718,20.913,9.109,65.17,0.2231,1.3684,1.3739,10.67,0.021,0.123,0.8942,0.3496,4,opened_or_broad,flat_span_over_pi,0.1943,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,2,1638,913,2,1,shimask_red_outline_from_raw_difference,36.83,28.36,0.77,,check,,765.3,126.788,16.566,281,36.716,0.915,1,0.369,1,7.22,31.21,4,0.914,1.25,,217,64,3,11.905,4.662,0.4512,0.0573,61.8637,0.0,557,382.136,49.93,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,36.83,28.109,765.289,5.514,31.231,22.691,26.331,16.002,7.223,40.972,0.2313,1.418,1.1861,17.522,3.326,0.1497,0.8072,0.3276,4,opened_or_broad,flat_span_over_pi,0.2225,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,3,1671,1502,4,1,shimask_red_outline_from_raw_difference,35.73,28.19,0.789,,check,,764.5,257.749,33.713,273,35.708,0.979,1,0.026,0,13.85,30.42,3,0.918,1.28,,215,58,6,27.407,6.306,0.9441,0.1147,133.5554,0.0,1089,424.996,55.589,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,35.729,28.109,764.53,5.223,30.422,21.759,27.263,17.018,6.926,37.677,0.2277,1.2786,1.1159,35.934,5.504,0.1462,0.7741,0.4535,3,opened_or_broad,flat_span_over_pi,0.2355,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,4,836,1540,3,1,shimask_red_outline_from_raw_difference,45.8,32.09,0.701,,check,,1095.4,90.774,8.287,230,20.997,0.919,1,0.374,1,7.92,41.32,7,0.939,1.45,,196,34,6,7.359,0.927,0.3947,0.1577,6.853,0.0,804,293.691,26.811,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,45.805,31.665,1095.418,5.497,40.223,28.448,28.871,18.373,9.055,64.401,0.2251,1.5484,1.3932,8.846,0.177,0.12,0.8984,0.3305,7,opened_or_broad,flat_span_over_pi,0.1317,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,6,1859,2128,6,1,shimask_red_outline_from_raw_difference,36.91,26.33,0.713,,check,,696.2,199.448,28.649,181,25.999,0.943,1,0.019,0,13.8,26.05,3,0.929,1.34,,147,34,7,24.571,4.079,1.1019,0.2079,35.8494,0.0,950,320.516,46.04,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,36.915,25.908,696.157,6.529,30.301,16.51,24.299,16.764,5.255,21.691,0.1734,0.9848,1.247,28.667,29.202,0.1769,0.6373,0.5344,3,opened_or_broad,flat_span_over_pi,0.1826,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,5,850,2141,5,1,shimask_red_outline_from_raw_difference,43.01,34.29,0.797,,check,,1070.3,411.698,38.466,232,21.676,0.982,1,0.024,0,14.82,37.8,3,0.949,1.17,,82,150,4,26.603,11.864,1.7746,0.0717,338.0928,0.0,1368,554.229,51.783,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,43.011,34.121,1070.314,5.161,37.765,23.283,31.073,20.235,7.411,43.14,0.1962,1.1506,1.2154,39.723,12.51,0.12,0.6824,0.4652,3,opened_or_broad,flat_span_over_pi,0.122,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,7,870,2697,7,1,shimask_red_outline_from_raw_difference,40.89,30.9,0.756,,check,,940.4,390.996,41.578,229,24.352,0.967,1,0.013,0,8.54,33.81,4,0.954,1.21,,79,150,3,26.672,14.906,1.7074,0.0573,341.1609,0.0,1298,529.175,56.272,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,40.894,30.48,940.443,6.928,33.881,26.162,29.379,19.05,8.328,54.467,0.2458,1.3733,1.1532,44.285,13.38,0.1694,0.8583,0.4595,4,opened_or_broad,flat_span_over_pi,0.1272,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima4,4,,,,,8,1829,2880,8,1,shimask_red_outline_from_raw_difference,71.29,31.58,0.443,check,check,,1487.4,201.978,13.579,319,21.446,0.945,1,0.066,0,14.07,45.29,3,0.769,2.22,,304,15,15,12.63,0.949,0.6332,0.1792,23.3333,0.0,1311,433.24,29.127,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,71.289,31.073,1487.389,21.778,49.427,25.654,30.48,23.961,16.332,209.489,0.3304,1.0707,1.6216,18.846,2.805,0.3055,0.8256,0.3409,3,folded_half,2x_flat_span_over_pi,0.7949,guide_density_secondary,profile_fallback,sinus|folded_mouth_proxy,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima5,5,,,,,1,798,1152,1,1,shimask_red_outline_from_raw_difference,31.92,27.43,0.859,,check,,669.7,25.011,3.735,93,13.887,0.971,1,0.004,0,5.98,29.51,5,0.931,1.16,,84,9,0,3.249,0.486,0.2689,0.1075,2.5233,0.0,284,82.43,12.309,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,31.919,27.093,669.662,3.83,28.004,26.755,23.537,16.171,8.516,56.963,0.3041,1.6545,1.1898,4.057,0.45,0.12,0.9875,0.2967,5,opened_or_broad,flat_span_over_pi,0.8492,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima5,5,,,,,2,1486,1162,2,1,shimask_red_outline_from_raw_difference,32.6,15.41,0.473,check,check,,102.9,0.968,0.94,11,10.686,0.341,1,0.03,0,2.43,29.1,7,0.166,1.37,,8,3,0,0.703,0.237,0.088,0.0645,0.3656,0.0,0,0.968,0.94,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.597,9.94,102.889,3.912,28.6,13.97,1.27,2.794,8.894,62.122,0.311,5.0,22.52,1.017,0.815,0.12,1.4055,0.3466,7,folded_half,2x_flat_span_over_pi,0.1525,shape_end_complexity,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima5,5,,,,,3,871,1857,3,1,shimask_red_outline_from_raw_difference,32.51,23.11,0.711,,check,,564.0,53.785,9.537,193,34.221,0.943,1,0.096,0,4.99,27.79,6,0.956,1.34,,181,12,2,8.531,1.005,0.2787,0.129,5.4265,0.0,504,217.376,38.543,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.512,22.945,563.956,4.378,28.049,14.901,22.013,15.071,4.743,17.67,0.1691,0.9888,1.2742,9.789,5.349,0.1347,0.6494,0.3689,6,opened_or_broad,flat_span_over_pi,0.0993,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima5,5,,,,,4,830,2592,4,1,shimask_red_outline_from_raw_difference,34.21,27.43,0.802,,check,,769.7,29.047,3.774,134,17.409,0.993,1,0.013,0,15.9,26.84,3,0.936,1.23,,121,13,1,3.195,0.578,0.2168,0.1075,3.4839,0.0,521,147.398,19.149,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.205,27.347,769.705,4.105,30.016,23.368,26.924,21.421,7.438,43.454,0.2478,1.0909,1.1148,4.012,0.05,0.12,0.8545,0.2961,3,opened_or_broad,flat_span_over_pi,0.1835,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima5,5,,,,,5,1546,2634,5,1,shimask_red_outline_from_raw_difference,36.32,29.04,0.8,,check,,757.7,27.892,3.681,103,13.594,0.68,1,0.007,0,5.2,31.2,8,0.948,1.13,,98,5,1,3.274,0.408,0.2708,0.1075,4.2724,0.0,401,115.727,15.274,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,36.322,28.533,757.641,5.206,31.031,17.78,26.924,17.441,5.66,25.157,0.1824,1.0194,1.1526,3.838,0.0,0.1433,0.6231,0.2387,8,opened_or_broad,flat_span_over_pi,0.1537,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima6,6,,,,,2,1239,1079,1,1,shimask_red_outline_from_raw_difference,31.83,23.03,0.724,,check,,565.4,125.14,22.134,99,17.51,0.851,1,0.002,0,5.26,27.19,4,0.921,1.37,,71,28,3,20.65,1.483,1.264,0.1362,87.6415,0.0,526,185.161,32.75,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,31.835,22.86,565.383,3.82,27.93,14.732,21.844,14.901,4.689,17.271,0.1679,0.9886,1.2786,23.31,0.0,0.12,0.6444,0.3059,4,opened_or_broad,flat_span_over_pi,0.2187,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima6,6,,,,,1,627,1119,2,1,shimask_red_outline_from_raw_difference,36.83,27.26,0.74,,check,,729.3,131.319,18.007,101,13.85,0.758,1,0.008,0,6.79,30.92,4,0.914,1.32,,86,15,5,16.637,1.37,1.3002,0.1362,74.853,0.0,656,219.398,30.085,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,36.83,27.034,729.268,5.433,31.312,19.897,24.638,14.478,6.333,31.503,0.2023,1.3743,1.2709,19.138,0.051,0.1475,0.736,0.3281,4,opened_or_broad,flat_span_over_pi,0.206,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima6,6,,,,,4,1238,1778,4,1,shimask_red_outline_from_raw_difference,32.68,24.3,0.744,,check,,605.7,54.014,8.917,74,12.216,0.873,1,0.031,0,6.63,25.74,5,0.928,1.3,,65,9,2,8.059,0.858,0.7299,0.129,34.9677,0.0,396,125.806,20.769,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.681,24.215,605.777,7.417,25.18,23.537,22.945,15.663,7.492,44.086,0.2975,1.5027,1.0974,10.407,0.246,0.2269,0.972,0.2257,5,opened_or_broad,flat_span_over_pi,0.2105,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima6,6,,,,,3,591,1806,3,1,shimask_red_outline_from_raw_difference,35.22,25.91,0.736,,check,,671.5,11.556,1.721,49,7.297,0.969,1,0.107,1,13.8,29.99,3,0.923,1.38,,45,4,0,1.664,0.057,0.2358,0.0645,1.7133,0.0,142,73.469,10.941,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,35.221,25.654,671.548,5.142,29.995,21.675,23.453,14.478,6.899,37.385,0.23,1.4971,1.2789,1.859,0.031,0.146,0.8449,0.208,3,opened_or_broad,flat_span_over_pi,0.2383,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima6,6,,,,,5,594,2393,5,1,shimask_red_outline_from_raw_difference,32.51,21.93,0.675,,check,,543.5,107.355,19.752,64,11.775,0.846,1,0.004,0,5.26,28.18,5,0.949,1.48,,54,10,2,18.473,1.279,1.6774,0.1039,89.6486,0.0,445,162.301,29.862,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.512,21.505,543.526,4.309,28.119,17.357,21.336,14.393,5.525,23.973,0.1965,1.2059,1.3179,20.698,0.0,0.1325,0.8071,0.3205,5,opened_or_broad,flat_span_over_pi,0.1317,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima6,6,,,,,6,1254,2489,6,1,shimask_red_outline_from_raw_difference,31.16,26.59,0.853,,check,,562.5,42.745,7.599,60,10.667,0.796,1,0.03,0,5.5,25.57,5,0.929,1.19,,54,6,3,6.6,0.999,0.7124,0.1577,12.2509,0.0,281,90.452,16.08,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,31.157,25.569,562.523,5.507,25.565,17.272,21.929,14.139,5.498,23.74,0.2151,1.2216,1.1658,8.358,0.0,0.1768,0.6755,0.2379,5,opened_or_broad,flat_span_over_pi,0.1406,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima7,7,,,,,1,1079,1189,1,1,shimask_red_outline_from_raw_difference,29.97,24.81,0.828,,check,,536.8,117.778,21.94,62,11.549,0.847,1,0.005,0,14.07,23.81,3,0.925,1.15,,52,10,2,20.942,0.998,1.8996,0.1505,94.0787,0.0,407,186.337,34.711,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,29.972,24.553,536.895,6.077,23.81,22.098,21.844,15.071,7.034,38.859,0.2954,1.4663,1.09,24.732,1.736,0.2028,0.9,0.3035,3,opened_or_broad,flat_span_over_pi,0.1462,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima7,7,,,,,2,507,1257,2,1,shimask_red_outline_from_raw_difference,29.8,23.37,0.784,,check,,544.3,13.462,2.473,59,10.84,0.943,1,0.097,0,13.48,24.92,3,0.909,1.26,,50,9,0,2.092,0.382,0.2282,0.086,2.129,0.0,213,92.222,16.944,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,29.803,23.114,544.25,4.801,24.917,21.167,21.421,17.103,6.738,35.653,0.2704,1.2376,1.1632,2.726,0.0,0.1611,0.9158,0.2283,3,opened_or_broad,flat_span_over_pi,0.2298,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima7,7,,,,,3,1182,1793,3,1,shimask_red_outline_from_raw_difference,31.33,25.23,0.805,,check,,533.2,15.484,2.904,83,15.566,0.84,1,0.537,1,4.72,25.24,5,0.924,1.08,,63,20,1,2.494,0.41,0.1866,0.0358,8.4014,0.0,123,84.824,15.908,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,31.327,25.061,533.232,4.899,26.343,12.277,24.469,14.055,3.908,11.994,0.1483,0.8735,1.0766,3.044,0.32,0.1564,0.4899,0.1941,5,opened_or_broad,flat_span_over_pi,0.2154,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima7,7,,,,,4,621,1871,4,1,shimask_red_outline_from_raw_difference,32.68,28.36,0.868,,check,,538.5,114.796,21.318,63,11.699,0.834,1,0.005,0,5.74,20.99,7,0.898,1.05,,57,6,2,20.26,1.058,1.8222,0.1577,85.8924,0.0,342,171.419,31.833,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.681,28.109,538.458,13.885,18.711,24.892,23.283,9.567,7.923,49.307,0.4235,2.6018,0.8036,28.595,3.526,0.4249,0.8855,0.243,7,opened_or_broad,flat_span_over_pi,0.0888,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima7,7,,,,,5,551,2436,5,1,shimask_red_outline_from_raw_difference,29.21,26.92,0.922,,check,,560.4,244.301,43.597,144,25.698,0.974,1,0.0,0,7.06,16.54,6,0.902,1.05,,26,118,4,15.835,27.763,1.6965,0.1183,176.7596,0.0,995,327.992,58.533,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,29.21,26.67,560.322,4.031,25.095,20.659,22.098,14.901,6.576,33.962,0.262,1.3864,1.1356,45.048,28.216,0.138,0.7746,0.5347,3,opened_or_broad,flat_span_over_pi,0.2152,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima7,7,,,,,6,1188,2458,6,1,shimask_red_outline_from_raw_difference,34.54,25.57,0.74,,check,,690.0,292.401,42.379,153,22.175,0.948,1,0.003,0,6.66,24.77,4,0.923,1.31,,59,94,4,24.042,18.336,1.9111,0.1004,176.8958,0.0,1247,403.713,58.512,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.544,25.4,689.956,4.407,30.053,20.743,24.638,16.764,6.603,34.241,0.2197,1.2374,1.2198,44.045,18.078,0.1276,0.8167,0.5265,3,opened_or_broad,flat_span_over_pi,0.2198,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima8,8,,,,,1,1251,822,1,1,shimask_red_outline_from_raw_difference,29.46,20.57,0.698,,check,,474.6,135.792,28.614,118,24.865,0.971,1,0.0,0,5.85,24.93,6,0.947,1.35,,50,68,7,23.138,5.476,1.1508,0.1075,41.0896,0.0,548,205.699,43.345,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,29.464,20.405,474.551,4.418,24.961,17.78,19.812,14.139,5.66,25.157,0.2267,1.2575,1.2599,29.961,10.354,0.15,0.8714,0.4393,6,opened_or_broad,flat_span_over_pi,0.1575,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima8,8,,,,,2,659,982,2,1,shimask_red_outline_from_raw_difference,36.07,25.65,0.711,,check,,700.8,199.054,28.405,139,19.835,0.967,1,0.001,0,6.06,31.1,5,0.949,1.29,,44,95,5,24.31,4.095,1.432,0.1075,71.4766,0.0,801,282.444,40.305,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,36.068,25.485,700.781,4.839,31.144,17.78,23.368,17.865,5.66,25.157,0.1817,0.9953,1.3328,29.519,6.4,0.1342,0.6977,0.4455,5,opened_or_broad,flat_span_over_pi,0.1584,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima8,8,,,,,4,1303,1637,3,1,shimask_red_outline_from_raw_difference,30.06,18.97,0.631,,check,,133.9,52.236,39.012,48,35.848,0.989,1,0.0,0,1.08,5.23,8,0.239,1.39,,15,33,5,23.743,15.268,1.0883,0.1362,18.8243,0.0,172,64.251,47.984,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,30.057,12.548,133.878,21.04,8.932,3.133,5.503,13.377,1.994,3.124,0.2233,0.2342,1.6231,33.175,43.943,0.7,0.2497,0.4254,8,folded_half,2x_flat_span_over_pi,0.0895,guide_density_secondary,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima8,8,,,,,3,606,1687,4,1,shimask_red_outline_from_raw_difference,35.98,25.32,0.704,,check,,696.1,247.856,35.605,270,38.786,0.934,1,0.001,0,7.36,31.76,5,0.933,1.41,,37,233,2,18.989,16.616,0.918,0.0932,182.6736,0.0,956,326.896,46.959,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,35.983,25.061,696.15,4.318,31.581,24.723,22.013,16.171,7.869,48.639,0.2492,1.5288,1.4346,37.535,6.066,0.12,0.9865,0.443,5,opened_or_broad,flat_span_over_pi,0.2094,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
